Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (65 a 69 anos + 70 a 74 anos + 75 a 79 anos + 80 a 89 anos + 90 a 99 anos + 100 anos ou mais);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1303908007;Colônia São Sebastião - São Paulo de Olivença (AM);74
1303908008;José Carlos Mestrinho - São Paulo de Olivença (AM);72
1303908009;União - São Paulo de Olivença (AM);10
1304005001;Centro - Silves (AM);46
1304005002;Macajatuba - Silves (AM);79
1304005003;Castanheira - Silves (AM);5
1304005004;Panorama - Silves (AM);24
1304005005;Governador Plinio Coelho - Silves (AM);14
1304005006;Vila Costa - Silves (AM);8
1304401001;Centro - Urucurituba (AM);119
1304401002;Aparecida - Urucurituba (AM);122
1304401003;Livramento - Urucurituba (AM);68
1304401004;Pedreiras - Urucurituba (AM);15
1304401005;Liberdade - Urucurituba (AM);49
1304401006;São Lázaro - Urucurituba (AM);104
1304401007;Tabocal - Urucurituba (AM);3
1400100001;Centro - Boa Vista (RR);488
1400100002;Calunga - Boa Vista (RR);72
1400100003;São Vicente - Boa Vista (RR);331
1400100004;Mecejana - Boa Vista (RR);272
1400100005;São Francisco - Boa Vista (RR);291
1400100006;Trinta e um de Março - Boa Vista (RR);95
1400100007;Aparecida - Boa Vista (RR);272
1400100008;Canarinho - Boa Vista (RR);32
1400100009;São Pedro - Boa Vista (RR);91
1400100010;Treze de Setembro - Boa Vista (RR);229
1400100011;Pricumã - Boa Vista (RR);256
1400100012;Liberdade - Boa Vista (RR);306
1400100013;Jardim Floresta - Boa Vista (RR);119
1400100014;Aeroporto - Boa Vista (RR);71
1400100015;Dos Estados - Boa Vista (RR);217
1400100016;Paraviana - Boa Vista (RR);145
1400100017;Caçari - Boa Vista (RR);115
1400100018;Buritis - Boa Vista (RR);399
1400100019;Marechal Rondon - Boa Vista (RR);...
1400100020;Asa Branca - Boa Vista (RR);185
1400100021;Cambará - Boa Vista (RR);352
1400100022;Tancredo Neves - Boa Vista (RR);216
1400100023;Caimbé - Boa Vista (RR);186
1400100024;Caranã - Boa Vista (RR);261
1400100025;Centenário - Boa Vista (RR);100
1400100026;Governador Aquilino Mota Duarte - Boa Vista (RR);25
1400100027;Operário - Boa Vista (RR);72
1400100028;Jardim Tropical - Boa Vista (RR);39
1400100029;Nova Canaã - Boa Vista (RR);151
1400100030;Jardim Equatorial - Boa Vista (RR);139
1400100031;Cauamé - Boa Vista (RR);214
1400100032;Alvorada - Boa Vista (RR);171
1400100033;Professora Araceli Souto Maior - Boa Vista (RR);83
1400100034;Bela Vista - Boa Vista (RR);83
1400100035;Cinturão Verde - Boa Vista (RR);136
1400100036;Dr. Silvio Leite - Boa Vista (RR);191
1400100037;Jardim Primavera - Boa Vista (RR);188
1400100038;Jóquei Clube - Boa Vista (RR);169
