"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"1712405","Lizarda (TO)","Total","Total","48"
"1712454","Luzinópolis (TO)","Total","Total","107"
"1712504","Marianópolis do Tocantins (TO)","Total","Total","130"
"1712702","Mateiros (TO)","Total","Total","102"
"1712801","Maurilândia do Tocantins (TO)","Total","Total","35"
"1713205","Miracema do Tocantins (TO)","Total","Total","573"
"1713304","Miranorte (TO)","Total","Total","359"
"1713601","Monte do Carmo (TO)","Total","Total","94"
"1713700","Monte Santo do Tocantins (TO)","Total","Total","53"
"1713809","Palmeiras do Tocantins (TO)","Total","Total","170"
"1713957","Muricilândia (TO)","Total","Total","93"
"1714203","Natividade (TO)","Total","Total","360"
"1714302","Nazaré (TO)","Total","Total","148"
"1714880","Nova Olinda (TO)","Total","Total","239"
"1715002","Nova Rosalândia (TO)","Total","Total","50"
"1715101","Novo Acordo (TO)","Total","Total","100"
"1715150","Novo Alegre (TO)","Total","Total","135"
"1715259","Novo Jardim (TO)","Total","Total","93"
"1715507","Oliveira de Fátima (TO)","Total","Total","14"
"1715705","Palmeirante (TO)","Total","Total","128"
"1715754","Palmeirópolis (TO)","Total","Total","337"
"1716109","Paraíso do Tocantins (TO)","Total","Total","1665"
"1716208","Paranã (TO)","Total","Total","701"
"1716307","Pau D'Arco (TO)","Total","Total","147"
"1716505","Pedro Afonso (TO)","Total","Total","363"
"1716604","Peixe (TO)","Total","Total","275"
"1716653","Pequizeiro (TO)","Total","Total","106"
"1716703","Colméia (TO)","Total","Total","233"
"1717008","Pindorama do Tocantins (TO)","Total","Total","167"
"1717206","Piraquê (TO)","Total","Total","81"
"1717503","Pium (TO)","Total","Total","217"
"1717800","Ponte Alta do Bom Jesus (TO)","Total","Total","155"
"1717909","Ponte Alta do Tocantins (TO)","Total","Total","110"
"1718006","Porto Alegre do Tocantins (TO)","Total","Total","120"
"1718204","Porto Nacional (TO)","Total","Total","1762"
"1718303","Praia Norte (TO)","Total","Total","194"
"1718402","Presidente Kennedy (TO)","Total","Total","170"
"1718451","Pugmil (TO)","Total","Total","141"
"1718501","Recursolândia (TO)","Total","Total","28"
"1718550","Riachinho (TO)","Total","Total","110"
"1718659","Rio da Conceição (TO)","Total","Total","104"
"1718709","Rio dos Bois (TO)","Total","Total","41"
"1718758","Rio Sono (TO)","Total","Total","86"
"1718808","Sampaio (TO)","Total","Total","128"
"1718840","Sandolândia (TO)","Total","Total","141"
"1718865","Santa Fé do Araguaia (TO)","Total","Total","218"
"1718881","Santa Maria do Tocantins (TO)","Total","Total","29"
"1718899","Santa Rita do Tocantins (TO)","Total","Total","25"
"1718907","Santa Rosa do Tocantins (TO)","Total","Total","152"
"1719004","Santa Tereza do Tocantins (TO)","Total","Total","41"
"1720002","Santa Terezinha do Tocantins (TO)","Total","Total","103"
"1720101","São Bento do Tocantins (TO)","Total","Total","150"
"1720150","São Félix do Tocantins (TO)","Total","Total","2"
"1720200","São Miguel do Tocantins (TO)","Total","Total","242"
"1720259","São Salvador do Tocantins (TO)","Total","Total","70"
"1720309","São Sebastião do Tocantins (TO)","Total","Total","284"
"1720499","São Valério (TO)","Total","Total","94"
"1720655","Silvanópolis (TO)","Total","Total","158"
"1720804","Sítio Novo do Tocantins (TO)","Total","Total","395"
"1720853","Sucupira (TO)","Total","Total","43"
"1720903","Taguatinga (TO)","Total","Total","585"
"1720937","Taipas do Tocantins (TO)","Total","Total","137"
"1720978","Talismã (TO)","Total","Total","65"
"1721000","Palmas (TO)","Total","Total","8399"
