"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"2307650031","Alto Alegre I - Maracanaú (CE)","Total","Total","1497","1488","7","-","2","-"
"2307650032","Alto Alegre II - Maracanaú (CE)","Total","Total","646","646","-","-","-","-"
"2307650033","Novo Oriente - Maracanaú (CE)","Total","Total","2032","2016","13","2","1","-"
"2307650034","Acaracuzinho I - Maracanaú (CE)","Total","Total","1299","1287","8","4","-","-"
"2307650035","Acaracuzinho II - Maracanaú (CE)","Total","Total","1224","1220","4","-","-","-"
"2307650036","Esplanada do Mondubim - Maracanaú (CE)","Total","Total","334","221","41","65","7","-"
"2307650038","Pajuçara - Maracanaú (CE)","Total","Total","5293","5022","220","41","10","-"
"2307650039","Boa Esperança - Maracanaú (CE)","Total","Total","552","551","1","-","-","-"
"2307650040","Jardim Paraíso - Maracanaú (CE)","Total","Total","1301","1279","16","6","-","-"
"2307650041","Alto da Bonança - Maracanaú (CE)","Total","Total","796","791","5","-","-","-"
"2307650042","Arronches - Maracanaú (CE)","Total","Total","597","597","-","-","-","-"
"2307650043","Parque Progresso - Maracanaú (CE)","Total","Total","974","909","63","2","-","-"
"2307650044","Parque Tropical - Maracanaú (CE)","Total","Total","853","849","4","-","-","-"
"2307650045","Jardim Bandeirante - Maracanaú (CE)","Total","Total","1467","1450","17","-","-","-"
"2307650046","Novo Mondubim - Maracanaú (CE)","Total","Total","509","199","148","162","-","-"
"2307700001","Centro - Maranguape (CE)","Total","Total","1296","1136","12","148","-","-"
"2307700002","Outra Banda - Maranguape (CE)","Total","Total","2542","2475","4","63","-","-"
"2307700003","Preguiça - Maranguape (CE)","Total","Total","450","411","5","34","-","-"
"2307700004","Pirapora - Maranguape (CE)","Total","Total","276","275","-","1","-","-"
"2307700005","Gavião - Maranguape (CE)","Total","Total","491","475","15","1","-","-"
"2307700006","Guabiraba - Maranguape (CE)","Total","Total","676","675","-","1","-","-"
"2307700007","Parque Santa Fé - Maranguape (CE)","Total","Total","1083","973","40","67","3","-"
"2307700008","Aldeoma - Maranguape (CE)","Total","Total","448","448","-","-","-","-"
"2307700009","Parque São João - Maranguape (CE)","Total","Total","1066","967","92","7","-","-"
"2307700010","Tangueira - Maranguape (CE)","Total","Total","201","190","-","11","-","-"
"2307700011","Coité - Maranguape (CE)","Total","Total","292","291","-","1","-","-"
"2307700012","Parque Iracema - Maranguape (CE)","Total","Total","552","505","28","19","-","-"
"2307700013","Santos Dumont - Maranguape (CE)","Total","Total","568","547","2","19","-","-"
"2307700014","Novo Parque Iracema - Maranguape (CE)","Total","Total","1034","1016","13","5","-","-"
"2307700015","Lameirão - Maranguape (CE)","Total","Total","417","413","4","-","-","-"
"2307700016","Urucara - Maranguape (CE)","Total","Total","196","194","2","-","-","-"
"2307700017","Novo Maranguape I - Maranguape (CE)","Total","Total","1370","1335","7","28","-","-"
"2307700018","Novo Maranguape II - Maranguape (CE)","Total","Total","2031","1997","16","18","-","-"
"2307700019","Cônego Raimundo Pinto - Maranguape (CE)","Total","Total","536","534","-","2","-","-"
"2308005001","Centro - Massapê (CE)","Total","Total","191","187","-","4","-","-"
"2308005002","Ginásio - Massapê (CE)","Total","Total","366","359","-","7","-","-"
"2308005003","Cartucha - Massapê (CE)","Total","Total","314","303","-","11","-","-"
"2308005004","São João - Massapê (CE)","Total","Total","232","227","3","2","-","-"
"2308005005","Nossa Senhora de Fátima - Massapê (CE)","Total","Total","295","295","-","-","-","-"
"2308005006","Cruzeiro - Massapê (CE)","Total","Total","520","520","-","-","-","-"
"2308005007","Bandeira Branca - Massapê (CE)","Total","Total","213","213","-","-","-","-"
"2308005008","Usina Velha - Massapê (CE)","Total","Total","65","57","-","8","-","-"
"2308005009","Alto da Boa Vista - Massapê (CE)","Total","Total","642","640","-","2","-","-"
"2308005010","Joaquim Marques - Massapê (CE)","Total","Total","963","961","-","2","-","-"
"2308005011","Alto da Cadeia - Massapê (CE)","Total","Total","367","367","-","-","-","-"
"2308005012","Santa Úrsula - Massapê (CE)","Total","Total","462","458","-","4","-","-"
"2308104001","Centro - Mauriti (CE)","Total","Total","460","450","-","10","-","-"
"2308104002","Nossa Senhora de Fátima - Mauriti (CE)","Total","Total","241","240","-","-","1","-"
"2308104003","Dantas - Mauriti (CE)","Total","Total","153","153","-","-","-","-"
"2308104004","Nova Mauriti - Mauriti (CE)","Total","Total","617","615","-","2","-","-"
"2308104005","Populares - Mauriti (CE)","Total","Total","319","318","-","1","-","-"
"2308104006","Monte Alegre - Mauriti (CE)","Total","Total","308","308","-","-","-","-"
"2308104007","Bela Vista II - Mauriti (CE)","Total","Total","674","674","-","-","-","-"
"2308104008","Bela Vista I - Mauriti (CE)","Total","Total","116","115","-","1","-","-"
"2308104009","Dom Bosco - Mauriti (CE)","Total","Total","336","336","-","-","-","-"
"2308104010","César Nascimento - Mauriti (CE)","Total","Total","184","184","-","-","-","-"
"2308104011","José Silcon de Lacerda - Mauriti (CE)","Total","Total","364","364","-","-","-","-"
"2308203001","Centro - Meruoca (CE)","Total","Total","292","291","-","1","-","-"
"2308203002","Divino Salvador - Meruoca (CE)","Total","Total","264","264","-","-","-","-"
"2308203003","Dom Expedito - Meruoca (CE)","Total","Total","335","333","2","-","-","-"
"2308203004","Coronel Bezerril - Meruoca (CE)","Total","Total","202","196","2","4","-","-"
"2308302001","Centro - Milagres (CE)","Total","Total","419","397","-","22","-","-"
"2308302002","Eucaliptos - Milagres (CE)","Total","Total","479","478","-","1","-","-"
"2308302003","Casa Própria - Milagres (CE)","Total","Total","545","544","-","1","-","-"
"2308302004","Francisca do Socorro - Milagres (CE)","Total","Total","1018","1018","-","-","-","-"
"2308302005","Frei Damião - Milagres (CE)","Total","Total","444","444","-","-","-","-"
"2308302006","Rodoviário - Milagres (CE)","Total","Total","221","214","-","3","4","-"
"2308302007","das Missionárias - Milagres (CE)","Total","Total","150","150","-","-","-","-"
"2308302008","Padre Cícero - Milagres (CE)","Total","Total","348","348","-","-","-","-"
"2308401001","Centro - Missão Velha (CE)","Total","Total","689","685","-","4","-","-"
"2308401002","Antonio Linard - Missão Velha (CE)","Total","Total","277","276","-","1","-","-"
"2308401003","Lordival Januário Pereira - Missão Velha (CE)","Total","Total","421","421","-","-","-","-"
"2308401004","da Fé - Missão Velha (CE)","Total","Total","623","623","-","-","-","-"
"2308401005","Nelson Cândido de Macedo - Missão Velha (CE)","Total","Total","172","172","-","-","-","-"
"2308401006","José de Iaiá - Missão Velha (CE)","Total","Total","398","398","-","-","-","-"
"2308401007","Adalberto Casimiro de Farias - Missão Velha (CE)","Total","Total","..","..","..","..","..",".."
"2308401008","São José - Missão Velha (CE)","Total","Total","404","404","-","-","-","-"
"2308401009","Rubens Arrais Maia - Missão Velha (CE)","Total","Total","153","153","-","-","-","-"
"2308401010","Novo Milênio - Missão Velha (CE)","Total","Total","91","91","-","-","-","-"
"2308401011","Antonio Luiz - Missão Velha (CE)","Total","Total","146","146","-","-","-","-"
"2308401012","José Pimenta - Missão Velha (CE)","Total","Total","210","210","-","-","-","-"
"2308500001","Centro - Mombaça (CE)","Total","Total","1386","1253","-","133","-","-"
"2308500002","Tejubana - Mombaça (CE)","Total","Total","790","788","-","1","1","-"
"2308500003","Vila Iracema - Mombaça (CE)","Total","Total","813","775","-","38","-","-"
"2308500004","Antônio Felinto - Mombaça (CE)","Total","Total","275","268","-","7","-","-"
"2308500005","Vila Salete - Mombaça (CE)","Total","Total","409","390","1","18","-","-"
"2308500006","Vila São José - Mombaça (CE)","Total","Total","399","398","-","1","-","-"
"2308500007","Vila Recreio - Mombaça (CE)","Total","Total","445","444","-","1","-","-"
"2308500008","Vila Betânia - Mombaça (CE)","Total","Total","231","230","-","1","-","-"
"2308609001","Centro - Monsenhor Tabosa (CE)","Total","Total","456","434","-","22","-","-"
"2308609002","Trizidela - Monsenhor Tabosa (CE)","Total","Total","146","146","-","-","-","-"
"2308609003","Quadra - Monsenhor Tabosa (CE)","Total","Total","300","290","-","10","-","-"
"2308609004","Alto da Boa Vista - Monsenhor Tabosa (CE)","Total","Total","509","507","-","2","-","-"
"2308609005","Prado - Monsenhor Tabosa (CE)","Total","Total","178","177","1","-","-","-"
"2308609006","Jucás - Monsenhor Tabosa (CE)","Total","Total","579","574","1","4","-","-"
"2308609007","Lilio Gentil Leitão - Monsenhor Tabosa (CE)","Total","Total","214","210","-","4","-","-"
"2308609008","Carrapicho - Monsenhor Tabosa (CE)","Total","Total","300","295","1","4","-","-"
"2309300001","Centro - Nova Russas (CE)","Total","Total","192","151","-","41","-","-"
"2309300002","Água Boa - Nova Russas (CE)","Total","Total","129","128","1","-","-","-"
"2309300003","Progresso - Nova Russas (CE)","Total","Total","1402","1365","13","24","-","-"
"2309300004","Timbaúba - Nova Russas (CE)","Total","Total","582","569","4","9","-","-"
"2309300005","Tamarindo - Nova Russas (CE)","Total","Total","933","930","-","2","1","-"
"2309300006","Alto da Boa Vista - Nova Russas (CE)","Total","Total","685","667","16","1","1","-"
"2309300007","São Francisco - Nova Russas (CE)","Total","Total","984","980","2","-","2","-"
"2309300008","Patronato - Nova Russas (CE)","Total","Total","245","187","17","41","-","-"
"2309300009","Universidade - Nova Russas (CE)","Total","Total","617","592","-","25","-","-"
"2309409001","Centro - Novo Oriente (CE)","Total","Total","1335","1325","-","9","1","-"
"2309409002","Prefeito Manoel Claudino Sales - Novo Oriente (CE)","Total","Total","309","309","-","-","-","-"
"2309409003","Boa Vista - Novo Oriente (CE)","Total","Total","278","278","-","-","-","-"
"2309409004","Colinas - Novo Oriente (CE)","Total","Total","236","235","-","-","1","-"
"2309409005","Açude Oriente II - Novo Oriente (CE)","Total","Total","250","250","-","-","-","-"
"2309409006","Açude Oriente I - Novo Oriente (CE)","Total","Total","69","69","-","-","-","-"
"2309409007","Vila Feliz - Novo Oriente (CE)","Total","Total","320","320","-","-","-","-"
"2309409008","Lagoa do Tigre Sul - Novo Oriente (CE)","Total","Total","246","245","-","-","1","-"
"2309409009","Lagoa do Tigre Norte - Novo Oriente (CE)","Total","Total","351","351","-","-","-","-"
"2309409010","João Antero - Novo Oriente (CE)","Total","Total","187","170","-","17","-","-"
"2309409011","Vicente Rodrigues Vieira - Novo Oriente (CE)","Total","Total","187","187","-","-","-","-"
"2309706001","Centro - Pacatuba (CE)","Total","Total","530","530","-","-","-","-"
"2309706002","Carnaubinha - Pacatuba (CE)","Total","Total","69","69","-","-","-","-"
"2309706003","Pracinha - Pacatuba (CE)","Total","Total","343","343","-","-","-","-"
"2309706004","São José - Pacatuba (CE)","Total","Total","353","353","-","-","-","-"
"2309706005","Forquilha - Pacatuba (CE)","Total","Total","256","254","1","-","1","-"
"2309706006","Parque Aratanha - Pacatuba (CE)","Total","Total","292","292","-","-","-","-"
"2309706007","São Bento - Pacatuba (CE)","Total","Total","318","318","-","-","-","-"
"2309706008","Alto São João - Pacatuba (CE)","Total","Total","1354","1353","-","-","1","-"
"2309904001","Centro - Pacujá (CE)","Total","Total","512","488","-","24","-","-"
"2309904002","Bananeira - Pacujá (CE)","Total","Total","245","240","-","5","-","-"
"2309904003","Barro Branco - Pacujá (CE)","Total","Total","264","254","9","1","-","-"
"2310100001","Centro - Palmácia (CE)","Total","Total","218","218","-","-","-","-"
"2310100002","Vinte e Oito de Agosto - Palmácia (CE)","Total","Total","114","114","-","-","-","-"
"2310100003","Bica - Palmácia (CE)","Total","Total","121","121","-","-","-","-"
"2310100004","São Francisco - Palmácia (CE)","Total","Total","157","157","-","-","-","-"
"2310100005","Vila Campos - Palmácia (CE)","Total","Total","381","376","-","5","-","-"
"2310100006","Caboclos - Palmácia (CE)","Total","Total","189","187","2","-","-","-"
"2310308001","Centro - Parambu (CE)","Total","Total","612","609","1","2","-","-"
"2310308002","Beleza - Parambu (CE)","Total","Total","984","984","-","-","-","-"
"2310308003","Planalto - Parambu (CE)","Total","Total","341","341","-","-","-","-"
"2310308004","Horácio Alves Noronha - Parambu (CE)","Total","Total","212","201","-","11","-","-"
"2310308005","Brasília - Parambu (CE)","Total","Total","557","557","-","-","-","-"
"2310308006","Caixa d'Água - Parambu (CE)","Total","Total","250","249","-","1","-","-"
"2310308007","Cachimbo - Parambu (CE)","Total","Total","368","367","-","-","1","-"
"2310308008","Vila Nova - Parambu (CE)","Total","Total","294","294","-","-","-","-"
"2310407001","Centro - Paramoti (CE)","Total","Total","197","161","-","36","-","-"
"2310407002","Vicente Farias - Paramoti (CE)","Total","Total","311","311","-","-","-","-"
"2310407003","Arrudas - Paramoti (CE)","Total","Total","295","295","-","-","-","-"
"2310407004","Esplanada do Conjunto - Paramoti (CE)","Total","Total","109","100","-","9","-","-"
"2310407005","Bela Vista - Paramoti (CE)","Total","Total","622","621","-","1","-","-"
"2310506001","Boa Esperança - Pedra Branca (CE)","Total","Total","299","297","1","1","-","-"
"2310506002","Bom Princípio - Pedra Branca (CE)","Total","Total","697","692","-","5","-","-"
"2310506003","Centro - Pedra Branca (CE)","Total","Total","778","760","-","18","-","-"
"2310506004","Chico Leandro - Pedra Branca (CE)","Total","Total","248","248","-","-","-","-"
"2310506005","Padre Geraldo - Pedra Branca (CE)","Total","Total","779","776","1","2","-","-"
"2310506006","Riso do Prado - Pedra Branca (CE)","Total","Total","415","415","-","-","-","-"
"2310506007","Santa Maria - Pedra Branca (CE)","Total","Total","1110","1110","-","-","-","-"
"2310506008","Santa Úrsula - Pedra Branca (CE)","Total","Total","559","559","-","-","-","-"
"2310605001","Centro - Penaforte (CE)","Total","Total","860","860","-","-","-","-"
"2310605002","Frei Damião - Penaforte (CE)","Total","Total","166","166","-","-","-","-"
"2310605003","Nossa Senhora Aparecida - Penaforte (CE)","Total","Total","238","238","-","-","-","-"
"2310605004","Padre Cícero - Penaforte (CE)","Total","Total","432","432","-","-","-","-"
"2310902001","Armando Melo - Piquet Carneiro (CE)","Total","Total","215","215","-","-","-","-"
"2310902002","Alto do Bentivi - Piquet Carneiro (CE)","Total","Total","12","12","-","-","-","-"
"2310902003","Alto do Bumerang - Piquet Carneiro (CE)","Total","Total","125","125","-","-","-","-"
"2310902004","Alto dos Maias - Piquet Carneiro (CE)","Total","Total","263","263","-","-","-","-"
"2310902005","Centro - Piquet Carneiro (CE)","Total","Total","349","347","-","2","-","-"
"2310902006","João Paulo II - Piquet Carneiro (CE)","Total","Total","185","185","-","-","-","-"
"2310902007","Piquezinho - Piquet Carneiro (CE)","Total","Total","344","344","-","-","-","-"
"2310902008","Rancho Verde - Piquet Carneiro (CE)","Total","Total","106","106","-","-","-","-"
"2311009001","Centro - Poranga (CE)","Total","Total","424","417","-","7","-","-"
"2311009002","Aeroporto - Poranga (CE)","Total","Total","287","286","1","-","-","-"
"2311009003","Eufrasino Neto - Poranga (CE)","Total","Total","72","72","-","-","-","-"
"2311009004","Betânia - Poranga (CE)","Total","Total","180","180","-","-","-","-"
"2311009005","Jericó - Poranga (CE)","Total","Total","261","253","-","8","-","-"
"2311009006","Jardim das Oliveiras - Poranga (CE)","Total","Total","614","614","-","-","-","-"
"2311108001","Centro - Porteiras (CE)","Total","Total","271","257","-","14","-","-"
"2311108002","José Aristarco Cardoso - Porteiras (CE)","Total","Total","280","280","-","-","-","-"
"2311108003","Sol Nascente - Porteiras (CE)","Total","Total","392","391","-","1","-","-"
"2311108004","José Irapuan Tavares de Lavor - Porteiras (CE)","Total","Total","209","209","-","-","-","-"
"2311108005","Entre Rios - Porteiras (CE)","Total","Total","115","115","-","-","-","-"
"2311108006","Campo Santo - Porteiras (CE)","Total","Total","285","284","-","1","-","-"
"2311108007","Imaculada Conceição - Porteiras (CE)","Total","Total","62","62","-","-","-","-"
"2311207001","Vila Campo - Potengi (CE)","Total","Total","214","214","-","-","-","-"
"2311207002","Vila Padre Cícero - Potengi (CE)","Total","Total","238","238","-","-","-","-"
"2311207003","Vila Andrade - Potengi (CE)","Total","Total","230","229","-","1","-","-"
"2311207004","São Francisco - Potengi (CE)","Total","Total","186","185","1","-","-","-"
"2311207005","Guaribas - Potengi (CE)","Total","Total","143","141","2","-","-","-"
