"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1300060002","São Francisco - Amaturá (AM)","Total","Total","435","419","-","12","4","-"
"1300060003","Santa Etelvina - Amaturá (AM)","Total","Total","359","354","-","5","-","-"
"1300409001","Centro - Barcelos (AM)","Total","Total","453","442","2","2","7","-"
"1300409002","São Sebastião - Barcelos (AM)","Total","Total","451","423","-","27","1","-"
"1300409003","São Francisco - Barcelos (AM)","Total","Total","188","186","1","1","-","-"
"1300409004","Nossa Senhora de Nazaré - Barcelos (AM)","Total","Total","397","388","-","9","-","-"
"1300409005","Nossa Senhora Aparecida - Barcelos (AM)","Total","Total","588","577","4","1","6","-"
"1300409006","Marivá - Barcelos (AM)","Total","Total","74","70","2","2","-","-"
"1300409007","Morara - Barcelos (AM)","Total","Total","164","137","26","-","1","-"
"1300409008","Santo Antônio - Barcelos (AM)","Total","Total","30","30","-","-","-","-"
"1300508001","Centro - Barreirinha (AM)","Total","Total","495","491","-","2","2","-"
"1300508002","São Judas Tadeu - Barreirinha (AM)","Total","Total","262","262","-","-","-","-"
"1300508003","São Benedito - Barreirinha (AM)","Total","Total","549","545","-","-","4","-"
"1300508004","Urbano Novo - Barreirinha (AM)","Total","Total","124","124","-","-","-","-"
"1300508005","Beira Rio - Barreirinha (AM)","Total","Total","207","207","-","-","-","-"
"1300607001","Centro - Benjamin Constant (AM)","Total","Total","644","613","-","27","4","-"
"1300607002","Coimbra - Benjamin Constant (AM)","Total","Total","698","695","-","3","-","-"
"1300607003","Colônia - Benjamin Constant (AM)","Total","Total","588","588","-","-","-","-"
"1300607004","Cohabam - Benjamin Constant (AM)","Total","Total","230","230","-","-","-","-"
"1300607005","Javarizinho - Benjamin Constant (AM)","Total","Total","544","543","-","-","1","-"
"1300607006","Umarizal - Benjamin Constant (AM)","Total","Total","107","107","-","-","-","-"
"1300607007","Bom Jardim - Benjamin Constant (AM)","Total","Total","589","589","-","-","-","-"
"1300607008","Cidade Nova - Benjamin Constant (AM)","Total","Total","200","200","-","-","-","-"
"1300607009","Castanhal - Benjamin Constant (AM)","Total","Total","155","155","-","-","-","-"
"1300706001","Praia do Gado - Boca do Acre (AM)","Total","Total","1705","1692","-","12","1","-"
"1300706002","Platô do Piquiá - Boca do Acre (AM)","Total","Total","1121","1109","-","11","1","-"
"1300706003","Fortaleza - Boca do Acre (AM)","Total","Total","165","164","-","-","1","-"
"1300706004","Macaxeiral - Boca do Acre (AM)","Total","Total","1583","1567","-","13","3","-"
"1300706005","Lago Novo - Boca do Acre (AM)","Total","Total","27","27","-","-","-","-"
"1300805001","Centro - Borba (AM)","Total","Total","918","902","-","12","4","-"
"1300805002","São Sebastião - Borba (AM)","Total","Total","376","376","-","-","-","-"
"1300805003","Ipiranga - Borba (AM)","Total","Total","319","317","1","1","-","-"
