"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total"
"1100205053","Cascalheira - Porto Velho (RO)","Total","Total","579","24","-","-","57","22"
"1100205054","Escola de Polícia - Porto Velho (RO)","Total","Total","835","210","24","11","38","9"
"1100205055","Teixeirão - Porto Velho (RO)","Total","Total","1392","246","16","11","126","28"
"1100205056","Planalto - Porto Velho (RO)","Total","Total","305","51","1","-","32","1"
"1100205057","Lagoinha - Porto Velho (RO)","Total","Total","1882","539","88","26","73","14"
"1100205058","Três Marias - Porto Velho (RO)","Total","Total","2348","460","80","16","58","19"
"1100205059","Cuniã - Porto Velho (RO)","Total","Total","1157","439","115","38","18","9"
"1100205060","Igarapé - Porto Velho (RO)","Total","Total","1800","762","208","44","34","3"
"1100205061","Aponiã - Porto Velho (RO)","Total","Total","2622","1166","357","71","42","9"
"1100205062","Conceição - Porto Velho (RO)","Total","Total","1575","753","171","34","20","5"
"1100288002","Centenário - Rolim de Moura (RO)","Total","Total","690","99","22","4","16","2"
"1100288003","Jardim Tropical - Rolim de Moura (RO)","Total","Total","775","107","14","4","7","10"
"1100288004","São Cristóvão - Rolim de Moura (RO)","Total","Total","1105","199","24","2","8","10"
"1100288005","Beira Rio - Rolim de Moura (RO)","Total","Total","1267","234","34","10","26","15"
"1100288006","Olímpico - Rolim de Moura (RO)","Total","Total","803","102","9","3","12","7"
"1100288007","Boa Esperança - Rolim de Moura (RO)","Total","Total","1224","218","40","3","9","4"
"1100288008","Cidade Alta - Rolim de Moura (RO)","Total","Total","1216","123","25","1","22","4"
"1100288009","Bairro Industrial - Rolim de Moura (RO)","Total","Total","267","45","7","5","4","1"
"1100288010","Planalto - Rolim de Moura (RO)","Total","Total","989","232","47","18","52","7"
"1100288011","Nova Morada - Rolim de Moura (RO)","Total","Total","50","5","-","-","1","1"
"1100288012","Centro - Rolim de Moura (RO)","Total","Total","1364","602","181","70","36","1"
"1100288013","Mutirão - Rolim de Moura (RO)","Total","Total","203","-","-","-","5","1"
"1100304001","Jardim Eldorado - Vilhena (RO)","Total","Total","1210","533","184","42","49","1"
"1100304002","Parque São Paulo - Vilhena (RO)","Total","Total","886","179","18","3","11","1"
"1100304003","Jardim América - Vilhena (RO)","Total","Total","362","221","74","28","-","-"
"1100304004","Alto Alegre - Vilhena (RO)","Total","Total","782","180","21","-","20","-"
"1100304005","Marcos Freire - Vilhena (RO)","Total","Total","381","63","11","-","11","-"
"1100304006","Tancredo Neves - Vilhena (RO)","Total","Total","242","46","5","2","-","-"
"1100304007","Nova Esperança - Vilhena (RO)","Total","Total","472","56","4","-","23","-"
"1100320001","Centro - São Miguel do Guaporé (RO)","Total","Total","615","149","26","10","2","-"
"1100320002","Novo Oriente - São Miguel do Guaporé (RO)","Total","Total","258","34","2","-","2","1"
"1100320003","Cristo Rei - São Miguel do Guaporé (RO)","Total","Total","451","62","11","2","7","2"
"1100320004","Planalto - São Miguel do Guaporé (RO)","Total","Total","686","52","3","-","12","3"
"1100338001","Centro - Nova Mamoré (RO)","Total","Total","408","107","24","6","12","4"
"1100338002","São José - Nova Mamoré (RO)","Total","Total","289","29","3","-","8","6"
"1100338003","Santa Luzia - Nova Mamoré (RO)","Total","Total","245","26","2","-","45","4"
"1100338004","Planalto - Nova Mamoré (RO)","Total","Total","422","26","4","-","94","7"
"1100338005","Nossa Senhora de Fátima - Nova Mamoré (RO)","Total","Total","19","2","1","-","-","-"
"1100338006","Cidade Nova - Nova Mamoré (RO)","Total","Total","176","38","5","2","61","2"
"1100338007","João Clímaco - Nova Mamoré (RO)","Total","Total","357","74","18","3","35","1"
"1101500001","Centro - Seringueiras (RO)","Total","Total","202","66","11","1","8","-"
"1101500002","Cristo Rei - Seringueiras (RO)","Total","Total","307","45","8","-","8","-"
"1101500003","São José - Seringueiras (RO)","Total","Total","206","23","2","-","2","-"
"1101500004","Jardim das Américas - Seringueiras (RO)","Total","Total","167","8","1","-","7","-"
"1101500005","Bela Vista - Seringueiras (RO)","Total","Total","198","27","1","-","13","1"
"1101708001","Novo Horizonte - Urupá (RO)","Total","Total","361","109","8","-","4","-"
"1101708002","Santíssima Trindade - Urupá (RO)","Total","Total","233","24","2","1","18","5"
"1101708003","Alto Alegre - Urupá (RO)","Total","Total","371","47","2","-","8","1"
"1101708004","Centro - Urupá (RO)","Total","Total","142","37","3","3","1","1"
"1101708005","Sumaúma - Urupá (RO)","Total","Total","190","28","1","-","11","2"
"1300060001","Centro - Amaturá (AM)","Total","Total","99","14","1","-","32","4"
"1300060002","São Francisco - Amaturá (AM)","Total","Total","229","57","6","1","119","23"
"1300060003","Santa Etelvina - Amaturá (AM)","Total","Total","196","31","3","1","99","29"
"1300409001","Centro - Barcelos (AM)","Total","Total","339","71","9","-","22","12"
"1300409002","São Sebastião - Barcelos (AM)","Total","Total","338","67","17","5","20","4"
"1300409003","São Francisco - Barcelos (AM)","Total","Total","137","33","4","2","12","-"
"1300409004","Nossa Senhora de Nazaré - Barcelos (AM)","Total","Total","303","56","8","3","10","17"
"1300409005","Nossa Senhora Aparecida - Barcelos (AM)","Total","Total","403","50","5","4","65","61"
"1300409006","Marivá - Barcelos (AM)","Total","Total","14","2","-","-","11","47"
"1300409007","Morara - Barcelos (AM)","Total","Total","49","12","8","2","66","27"
"1300409008","Santo Antônio - Barcelos (AM)","Total","Total","1","-","-","-","5","24"
"1300508001","Centro - Barreirinha (AM)","Total","Total","382","46","6","6","44","11"
"1300508002","São Judas Tadeu - Barreirinha (AM)","Total","Total","177","35","5","-","34","11"
"1300508003","São Benedito - Barreirinha (AM)","Total","Total","359","48","5","2","118","17"
"1300508004","Urbano Novo - Barreirinha (AM)","Total","Total","29","4","-","3","56","32"
"1300508005","Beira Rio - Barreirinha (AM)","Total","Total","151","25","1","1","21","8"
"1300607001","Centro - Benjamin Constant (AM)","Total","Total","268","86","25","16","197","52"
"1300607002","Coimbra - Benjamin Constant (AM)","Total","Total","332","72","8","4","240","42"
"1300607003","Colônia - Benjamin Constant (AM)","Total","Total","305","62","8","4","205","4"
"1300607004","Cohabam - Benjamin Constant (AM)","Total","Total","108","18","1","3","65","35"
"1300607005","Javarizinho - Benjamin Constant (AM)","Total","Total","110","14","1","-","360","59"
"1300607006","Umarizal - Benjamin Constant (AM)","Total","Total","90","1","-","1","5","10"
"1300607007","Bom Jardim - Benjamin Constant (AM)","Total","Total","219","17","2","-","295","56"
"1300607008","Cidade Nova - Benjamin Constant (AM)","Total","Total","53","7","1","1","120","18"
"1300607009","Castanhal - Benjamin Constant (AM)","Total","Total","60","2","2","1","90","-"
"1300706001","Praia do Gado - Boca do Acre (AM)","Total","Total","740","55","7","4","817","82"
"1300706002","Platô do Piquiá - Boca do Acre (AM)","Total","Total","480","119","40","12","433","37"
"1300706003","Fortaleza - Boca do Acre (AM)","Total","Total","48","4","2","-","89","22"
"1300706004","Macaxeiral - Boca do Acre (AM)","Total","Total","761","127","30","18","584","63"
"1300706005","Lago Novo - Boca do Acre (AM)","Total","Total","7","-","-","-","17","3"
"1300805001","Centro - Borba (AM)","Total","Total","533","153","33","12","158","29"
"1300805002","São Sebastião - Borba (AM)","Total","Total","233","30","3","1","73","36"
"1300805003","Ipiranga - Borba (AM)","Total","Total","264","44","2","1","4","4"
"1300805004","Cristo Rei - Borba (AM)","Total","Total","320","60","8","2","57","7"
"1300805005","Recreio - Borba (AM)","Total","Total","488","58","10","1","270","65"
"1301001001","Centro - Carauari (AM)","Total","Total","526","183","44","16","326","74"
"1301001002","Fátima - Carauari (AM)","Total","Total","295","57","4","-","675","93"
"1301001003","Samuel Amaral - Carauari (AM)","Total","Total","355","58","9","2","737","146"
"1301001004","Nova República - Carauari (AM)","Total","Total","202","40","7","1","265","30"
"1301100001","Urbano Centro - Careiro (AM)","Total","Total","441","109","14","4","20","11"
"1301100002","Urbano Vista Alegre - Careiro (AM)","Total","Total","218","43","6","-","35","2"
"1301100003","Urbano Horizonte - Careiro (AM)","Total","Total","513","45","1","1","260","54"
"1301100004","Urbano Industrial - Careiro (AM)","Total","Total","6","2","-","-","5","2"
