"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1505536","Parauapebas (PA)","63804","32905","3499","13469","587","1188","695","11462"
"1505551","Pau D'Arco (PA)","1953","396","316","553","36","312","14","325"
"1505601","Peixe-Boi (PA)","2425","218","163","782","23","408","15","816"
"1505635","Piçarra (PA)","4301","770","417","1214","38","571","94","1196"
"1505650","Placas (PA)","9058","357","445","3531","624","1361","15","2726"
"1505700","Ponta de Pedras (PA)","8461","759","680","1788","331","1283","8","3612"
"1505809","Portel (PA)","15867","1128","1513","3409","746","3361","52","5658"
"1505908","Porto de Moz (PA)","12333","377","457","3122","1418","2739","24","4197"
"1506005","Prainha (PA)","10025","536","433","1823","512","2887","69","3766"
"1506104","Primavera (PA)","3733","206","182","877","142","1054","29","1243"
"1506112","Quatipuru (PA)","4340","318","264","776","271","563","15","2133"
"1506138","Redenção (PA)","32783","9466","1638","11094","674","775","977","8160"
"1506161","Rio Maria (PA)","7594","1969","464","2527","129","458","167","1880"
"1506187","Rondon do Pará (PA)","17322","3716","970","6164","372","1907","234","3960"
"1506195","Rurópolis (PA)","13858","943","1234","3288","509","1538","163","6184"
"1506203","Salinópolis (PA)","16402","2090","685","8236","651","519","120","4101"
"1506302","Salvaterra (PA)","7212","412","371","2775","234","609","41","2769"
"1506351","Santa Bárbara do Pará (PA)","5823","1559","345","1551","91","445","31","1800"
"1506401","Santa Cruz do Arari (PA)","2413","151","115","515","33","735","3","860"
"1506500","Santa Izabel do Pará (PA)","22377","7273","1239","5415","481","580","286","7102"
"1506559","Santa Luzia do Pará (PA)","5896","566","130","2233","320","764","15","1868"
"1506583","Santa Maria das Barreiras (PA)","5721","771","234","1993","57","912","55","1698"
"1506609","Santa Maria do Pará (PA)","9492","1005","373","3506","76","536","51","3944"
"1506708","Santana do Araguaia (PA)","20178","6397","1282","5604","736","1369","208","4581"
"1506807","Santarém (PA)","114556","28169","5717","26846","3174","10448","1633","38568"
"1506906","Santarém Novo (PA)","1663","109","186","638","10","223","-","497"
"1507003","Santo Antônio do Tauá (PA)","10126","1699","608","2759","482","776","89","3713"
"1507102","São Caetano de Odivelas (PA)","6082","381","454","1419","153","574","18","3084"
"1507151","São Domingos do Araguaia (PA)","8797","728","670","3436","64","898","27","2974"
"1507201","São Domingos do Capim (PA)","11451","432","833","1667","438","3689","42","4348"
"1507300","São Félix do Xingu (PA)","32629","7282","689","8776","1400","4081","744","9659"
"1507409","São Francisco do Pará (PA)","5292","701","196","1510","111","321","8","2444"
