"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000906","Antônio João (MS)","Total","15 a 19 anos","871","47","72","103","37","3","-","-","-","-","-","-","609","-"
"5000906","Antônio João (MS)","Total","15 a 17 anos","547","34","42","32","8","2","-","-","-","-","-","-","429","-"
"5000906","Antônio João (MS)","Total","18 ou 19 anos","324","13","30","71","29","1","-","-","-","-","-","-","180","-"
"5000906","Antônio João (MS)","Total","20 a 24 anos","643","32","64","182","96","12","4","1","-","-","1","-","251","-"
"5000906","Antônio João (MS)","Total","25 a 29 anos","640","31","49","179","134","23","21","10","1","-","-","-","192","-"
"5000906","Antônio João (MS)","Total","30 a 34 anos","574","21","42","168","154","27","31","12","-","1","-","-","118","-"
"5000906","Antônio João (MS)","Total","35 a 39 anos","500","21","38","126","122","30","20","14","-","2","1","-","126","-"
"5000906","Antônio João (MS)","Total","40 a 44 anos","482","14","55","139","88","29","28","13","-","2","1","-","113","-"
"5000906","Antônio João (MS)","Total","45 a 49 anos","434","27","42","120","78","19","22","13","3","3","-","1","106","-"
"5000906","Antônio João (MS)","Total","50 a 54 anos","354","13","28","109","58","20","13","9","1","5","1","-","97","-"
"5000906","Antônio João (MS)","Total","55 a 59 anos","277","19","24","83","39","11","9","5","2","-","-","2","83","-"
"5000906","Antônio João (MS)","Total","60 a 69 anos","437","7","15","232","47","9","12","13","2","2","-","-","98","-"
"5000906","Antônio João (MS)","Total","70 anos ou mais","408","-","3","313","35","9","3","8","-","-","-","-","37","-"
"5001003","Aparecida do Taboado (MS)","Total","10 a 14 anos","1938","121","80","47","13","2","2","-","-","-","-","-","1673","-"
