"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100205056","Planalto - Porto Velho (RO)","Total","Total","390","43","92","89","81","30","21","15","8","3","4","-","1","3","-"
"1100205057","Lagoinha - Porto Velho (RO)","Total","Total","2622","214","461","636","609","371","175","81","41","14","7","3","1","4","5"
"1100205058","Três Marias - Porto Velho (RO)","Total","Total","2981","275","538","732","683","411","183","67","48","24","12","3","5","-","-"
"1100205059","Cuniã - Porto Velho (RO)","Total","Total","1776","141","311","443","409","260","122","42","24","14","5","1","1","1","2"
"1100205060","Igarapé - Porto Velho (RO)","Total","Total","2851","224","495","664","657","396","211","88","63","22","14","4","5","2","6"
"1100205061","Aponiã - Porto Velho (RO)","Total","Total","4267","366","772","1034","1077","545","240","117","68","20","12","6","3","3","4"
"1100205062","Conceição - Porto Velho (RO)","Total","Total","2558","209","487","565","573","385","171","98","36","15","8","5","2","2","2"
"1100288002","Centenário - Rolim de Moura (RO)","Total","Total","833","91","196","217","191","84","30","17","6","1","-","-","-","-","-"
"1100288003","Jardim Tropical - Rolim de Moura (RO)","Total","Total","917","83","235","212","221","104","41","12","4","2","2","-","-","1","-"
"1100288004","São Cristóvão - Rolim de Moura (RO)","Total","Total","1348","168","328","357","282","135","50","19","6","3","-","-","-","-","-"
"1100288005","Beira Rio - Rolim de Moura (RO)","Total","Total","1586","167","368","417","355","188","63","19","5","2","1","-","1","-","-"
"1100288006","Olímpico - Rolim de Moura (RO)","Total","Total","936","137","209","210","203","110","42","13","5","7","-","-","-","-","-"
"1100288007","Boa Esperança - Rolim de Moura (RO)","Total","Total","1498","171","347","393","375","144","52","8","6","-","1","-","-","1","-"
"1100288008","Cidade Alta - Rolim de Moura (RO)","Total","Total","1391","128","313","399","322","151","50","14","9","4","-","1","-","-","-"
"1100288009","Bairro Industrial - Rolim de Moura (RO)","Total","Total","329","32","62","85","91","36","16","4","2","-","1","-","-","-","-"
"1100288010","Planalto - Rolim de Moura (RO)","Total","Total","1345","160","308","339","309","141","58","19","8","2","1","-","-","-","-"
"1100288011","Nova Morada - Rolim de Moura (RO)","Total","Total","57","5","14","13","12","8","5","-","-","-","-","-","-","-","-"
"1100288012","Centro - Rolim de Moura (RO)","Total","Total","2254","358","589","555","479","174","68","23","3","5","-","-","-","-","-"
"1100288013","Mutirão - Rolim de Moura (RO)","Total","Total","209","23","42","43","47","27","13","5","5","3","-","-","-","-","1"
"1100304001","Jardim Eldorado - Vilhena (RO)","Total","Total","2019","262","481","502","489","195","57","19","10","2","1","1","-","-","-"
"1100304002","Parque São Paulo - Vilhena (RO)","Total","Total","1098","124","268","284","238","123","39","9","3","4","2","2","1","-","1"
"1100304003","Jardim América - Vilhena (RO)","Total","Total","685","99","160","176","152","71","18","7","2","-","-","-","-","-","-"
"1100304004","Alto Alegre - Vilhena (RO)","Total","Total","1003","112","209","256","221","134","40","15","10","2","1","2","-","-","1"
"1100304005","Marcos Freire - Vilhena (RO)","Total","Total","466","50","97","135","93","52","21","12","2","2","1","1","-","-","-"
"1100304006","Tancredo Neves - Vilhena (RO)","Total","Total","295","32","70","78","61","42","7","-","3","1","-","1","-","-","-"
