"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Situação do domicílio","Grupo de idade","Ano x Condição de atividade x Sexo"
"Cód.","Município","Situação do domicílio","Grupo de idade","2010"
"Cód.","Município","Situação do domicílio","Grupo de idade","Economicamente ativa"
"Cód.","Município","Situação do domicílio","Grupo de idade","Total"
"1600501","Oiapoque (AP)","Total","Total","9049"
"1600535","Porto Grande (AP)","Total","Total","7234"
"1600550","Pracuúba (AP)","Total","Total","1271"
"1600600","Santana (AP)","Total","Total","42094"
"1600709","Tartarugalzinho (AP)","Total","Total","4378"
"1600808","Vitória do Jari (AP)","Total","Total","4358"
"1700251","Abreulândia (TO)","Total","Total","1144"
"1700301","Aguiarnópolis (TO)","Total","Total","2116"
"1700350","Aliança do Tocantins (TO)","Total","Total","2349"
"1700400","Almas (TO)","Total","Total","3104"
"1700707","Alvorada (TO)","Total","Total","4168"
"1701002","Ananás (TO)","Total","Total","3930"
"1701051","Angico (TO)","Total","Total","1246"
"1701101","Aparecida do Rio Negro (TO)","Total","Total","1649"
"1701309","Aragominas (TO)","Total","Total","2837"
"1701903","Araguacema (TO)","Total","Total","2785"
"1702000","Araguaçu (TO)","Total","Total","3994"
"1702109","Araguaína (TO)","Total","Total","74063"
"1702158","Araguanã (TO)","Total","Total","2229"
"1702208","Araguatins (TO)","Total","Total","11710"
"1702307","Arapoema (TO)","Total","Total","2986"
"1702406","Arraias (TO)","Total","Total","4251"
"1702554","Augustinópolis (TO)","Total","Total","6776"
"1702703","Aurora do Tocantins (TO)","Total","Total","1425"
"1702901","Axixá do Tocantins (TO)","Total","Total","3588"
"1703008","Babaçulândia (TO)","Total","Total","4138"
"1703057","Bandeirantes do Tocantins (TO)","Total","Total","898"
"1703073","Barra do Ouro (TO)","Total","Total","1540"
"1703107","Barrolândia (TO)","Total","Total","2140"
"1703206","Bernardo Sayão (TO)","Total","Total","1892"
"1703305","Bom Jesus do Tocantins (TO)","Total","Total","1758"
"1703602","Brasilândia do Tocantins (TO)","Total","Total","818"
"1703701","Brejinho de Nazaré (TO)","Total","Total","2141"
"1703800","Buriti do Tocantins (TO)","Total","Total","3359"
"1703826","Cachoeirinha (TO)","Total","Total","822"
"1703842","Campos Lindos (TO)","Total","Total","2889"
"1703867","Cariri do Tocantins (TO)","Total","Total","1667"
"1703883","Carmolândia (TO)","Total","Total","938"
"1703891","Carrasco Bonito (TO)","Total","Total","1368"
"1703909","Caseara (TO)","Total","Total","1922"
"1704105","Centenário (TO)","Total","Total","775"
"1704600","Chapada de Areia (TO)","Total","Total","631"
"1705102","Chapada da Natividade (TO)","Total","Total","1046"
"1705508","Colinas do Tocantins (TO)","Total","Total","14580"
"1705557","Combinado (TO)","Total","Total","2157"
"1705607","Conceição do Tocantins (TO)","Total","Total","1662"
"1706001","Couto Magalhães (TO)","Total","Total","2025"
"1706100","Cristalândia (TO)","Total","Total","2955"
"1706258","Crixás do Tocantins (TO)","Total","Total","625"
"1706506","Darcinópolis (TO)","Total","Total","2105"
"1707009","Dianópolis (TO)","Total","Total","8833"
"1707108","Divinópolis do Tocantins (TO)","Total","Total","2739"
"1707207","Dois Irmãos do Tocantins (TO)","Total","Total","2448"
"1707306","Dueré (TO)","Total","Total","1952"
"1707405","Esperantina (TO)","Total","Total","2729"
"1707553","Fátima (TO)","Total","Total","1571"
"1707652","Figueirópolis (TO)","Total","Total","2791"
"1707702","Filadélfia (TO)","Total","Total","2951"
"1708205","Formoso do Araguaia (TO)","Total","Total","8039"
"1708254","Tabocão (TO)","Total","Total","998"
"1708304","Goianorte (TO)","Total","Total","2161"
"1709005","Goiatins (TO)","Total","Total","4098"
"1709302","Guaraí (TO)","Total","Total","11933"
"1709500","Gurupi (TO)","Total","Total","40952"
"1709807","Ipueiras (TO)","Total","Total","614"
"1710508","Itacajá (TO)","Total","Total","2324"
"1710706","Itaguatins (TO)","Total","Total","1776"
"1710904","Itapiratins (TO)","Total","Total","1990"
"1711100","Itaporã do Tocantins (TO)","Total","Total","1185"
"1711506","Jaú do Tocantins (TO)","Total","Total","1568"
"1711803","Juarina (TO)","Total","Total","876"
"1711902","Lagoa da Confusão (TO)","Total","Total","4426"
"1711951","Lagoa do Tocantins (TO)","Total","Total","1274"
"1712009","Lajeado (TO)","Total","Total","1270"
"1712157","Lavandeira (TO)","Total","Total","807"
"1712405","Lizarda (TO)","Total","Total","1023"
"1712454","Luzinópolis (TO)","Total","Total","1066"
"1712504","Marianópolis do Tocantins (TO)","Total","Total","2152"
"1712702","Mateiros (TO)","Total","Total","1084"
"1712801","Maurilândia do Tocantins (TO)","Total","Total","898"
"1713205","Miracema do Tocantins (TO)","Total","Total","8861"
"1713304","Miranorte (TO)","Total","Total","5854"
"1713601","Monte do Carmo (TO)","Total","Total","2325"
"1713700","Monte Santo do Tocantins (TO)","Total","Total","794"
"1713809","Palmeiras do Tocantins (TO)","Total","Total","2249"
"1713957","Muricilândia (TO)","Total","Total","921"
"1714203","Natividade (TO)","Total","Total","3524"
"1714302","Nazaré (TO)","Total","Total","1565"
"1714880","Nova Olinda (TO)","Total","Total","4319"
"1715002","Nova Rosalândia (TO)","Total","Total","1262"
"1715101","Novo Acordo (TO)","Total","Total","1516"
"1715150","Novo Alegre (TO)","Total","Total","1056"
"1715259","Novo Jardim (TO)","Total","Total","1071"
"1715507","Oliveira de Fátima (TO)","Total","Total","353"
"1715705","Palmeirante (TO)","Total","Total","2010"
"1715754","Palmeirópolis (TO)","Total","Total","3595"
"1716109","Paraíso do Tocantins (TO)","Total","Total","23992"
"1716208","Paranã (TO)","Total","Total","3707"
"1716307","Pau D'Arco (TO)","Total","Total","2107"
"1716505","Pedro Afonso (TO)","Total","Total","5589"
"1716604","Peixe (TO)","Total","Total","4632"
"1716653","Pequizeiro (TO)","Total","Total","2142"
"1716703","Colméia (TO)","Total","Total","3941"
"1717008","Pindorama do Tocantins (TO)","Total","Total","1763"
"1717206","Piraquê (TO)","Total","Total","1193"
"1717503","Pium (TO)","Total","Total","3181"
"1717800","Ponte Alta do Bom Jesus (TO)","Total","Total","1251"
"1717909","Ponte Alta do Tocantins (TO)","Total","Total","2574"
"1718006","Porto Alegre do Tocantins (TO)","Total","Total","1146"
"1718204","Porto Nacional (TO)","Total","Total","24525"
"1718303","Praia Norte (TO)","Total","Total","2425"
"1718402","Presidente Kennedy (TO)","Total","Total","1536"
"1718451","Pugmil (TO)","Total","Total","1084"
"1718501","Recursolândia (TO)","Total","Total","844"
"1718550","Riachinho (TO)","Total","Total","879"
"1718659","Rio da Conceição (TO)","Total","Total","613"
"1718709","Rio dos Bois (TO)","Total","Total","1070"
"1718758","Rio Sono (TO)","Total","Total","2171"
"1718808","Sampaio (TO)","Total","Total","1402"
"1718840","Sandolândia (TO)","Total","Total","1633"
"1718865","Santa Fé do Araguaia (TO)","Total","Total","2510"
"1718881","Santa Maria do Tocantins (TO)","Total","Total","1178"
"1718899","Santa Rita do Tocantins (TO)","Total","Total","793"
"1718907","Santa Rosa do Tocantins (TO)","Total","Total","1804"
"1719004","Santa Tereza do Tocantins (TO)","Total","Total","1114"
"1720002","Santa Terezinha do Tocantins (TO)","Total","Total","972"
"1720101","São Bento do Tocantins (TO)","Total","Total","1803"
"1720150","São Félix do Tocantins (TO)","Total","Total","307"
"1720200","São Miguel do Tocantins (TO)","Total","Total","3817"
"1720259","São Salvador do Tocantins (TO)","Total","Total","855"
"1720309","São Sebastião do Tocantins (TO)","Total","Total","1156"
"1720499","São Valério (TO)","Total","Total","1626"
"1720655","Silvanópolis (TO)","Total","Total","2160"
"1720804","Sítio Novo do Tocantins (TO)","Total","Total","3289"
"1720853","Sucupira (TO)","Total","Total","774"
"1720903","Taguatinga (TO)","Total","Total","5958"
"1720937","Taipas do Tocantins (TO)","Total","Total","742"
"1720978","Talismã (TO)","Total","Total","1461"
"1721000","Palmas (TO)","Total","Total","127475"
"1721109","Tocantínia (TO)","Total","Total","1943"
"1721208","Tocantinópolis (TO)","Total","Total","9405"
"1721257","Tupirama (TO)","Total","Total","636"
"1721307","Tupiratins (TO)","Total","Total","1038"
"1722081","Wanderlândia (TO)","Total","Total","4340"
"1722107","Xambioá (TO)","Total","Total","4870"
"2100055","Açailândia (MA)","Total","Total","43724"
"2100105","Afonso Cunha (MA)","Total","Total","1164"
"2100154","Água Doce do Maranhão (MA)","Total","Total","2922"
"2100204","Alcântara (MA)","Total","Total","7692"
"2100303","Aldeias Altas (MA)","Total","Total","8121"
"2100402","Altamira do Maranhão (MA)","Total","Total","2678"
"2100436","Alto Alegre do Maranhão (MA)","Total","Total","7644"
"2100477","Alto Alegre do Pindaré (MA)","Total","Total","8266"
"2100501","Alto Parnaíba (MA)","Total","Total","4074"
"2100550","Amapá do Maranhão (MA)","Total","Total","2402"
"2100600","Amarante do Maranhão (MA)","Total","Total","14357"
"2100709","Anajatuba (MA)","Total","Total","10160"
"2100808","Anapurus (MA)","Total","Total","5763"
"2100832","Apicum-Açu (MA)","Total","Total","5878"
"2100873","Araguanã (MA)","Total","Total","3836"
"2100907","Araioses (MA)","Total","Total","12490"
"2100956","Arame (MA)","Total","Total","9420"
"2101004","Arari (MA)","Total","Total","10502"
"2101103","Axixá (MA)","Total","Total","4255"
"2101202","Bacabal (MA)","Total","Total","41638"
"2101251","Bacabeira (MA)","Total","Total","5812"
"2101301","Bacuri (MA)","Total","Total","6873"
"2101350","Bacurituba (MA)","Total","Total","1291"
"2101400","Balsas (MA)","Total","Total","36481"
"2101509","Barão de Grajaú (MA)","Total","Total","6464"
"2101608","Barra do Corda (MA)","Total","Total","29883"
