"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5003751008","Jardim Novo Eldorado - Eldorado (MS)","Total","Total","637","89","158","172","138","54","12","10","2","2","-","-","-","-","-"
"5003751009","Primavera - Eldorado (MS)","Total","Total","192","25","41","47","46","18","12","3","-","-","-","-","-","-","-"
"5004304001","Centro - Iguatemi (MS)","Total","Total","581","81","170","141","134","47","6","1","1","-","-","-","-","-","-"
"5004304002","Vila Rosa - Iguatemi (MS)","Total","Total","521","60","128","144","109","57","13","5","5","-","-","-","-","-","-"
"5004304003","Vila Nova - Iguatemi (MS)","Total","Total","349","43","76","110","74","28","10","2","3","1","-","2","-","-","-"
"5004304004","Vila Nova Esperança - Iguatemi (MS)","Total","Total","572","81","128","158","105","52","30","6","7","2","3","-","-","-","-"
"5004304005","Vila Jardim Aeroporto - Iguatemi (MS)","Total","Total","482","55","120","109","114","57","14","6","3","2","1","1","-","-","-"
"5004304006","Vila Operária - Iguatemi (MS)","Total","Total","545","73","119","110","103","73","38","14","6","4","3","1","-","-","1"
"5004304007","Jardim dos Eucaliptos - Iguatemi (MS)","Total","Total","88","12","14","29","18","7","5","1","2","-","-","-","-","-","-"
"5004700001","Centro - Ivinhema (MS)","Total","Total","236","17","72","58","60","23","5","1","-","-","-","-","-","-","-"
"5004700002","Água Azul - Ivinhema (MS)","Total","Total","65","1","8","20","16","14","3","1","1","1","-","-","-","-","-"
"5004700003","Triaguenã - Ivinhema (MS)","Total","Total","366","51","77","92","75","36","24","5","4","-","2","-","-","-","-"
"5004700004","Itapoã - Ivinhema (MS)","Total","Total","1433","167","339","400","328","129","47","17","5","1","-","-","-","-","-"
"5004700005","Piravevê - Ivinhema (MS)","Total","Total","1089","140","269","294","263","93","25","5","-","-","-","-","-","-","-"
"5004700006","Guiraí - Ivinhema (MS)","Total","Total","912","104","240","259","204","77","20","6","1","-","1","-","-","-","-"
"5004700007","Vitória - Ivinhema (MS)","Total","Total","901","103","200","247","209","90","36","13","1","-","1","1","-","-","-"
"5005202001","Centro - Ladário (MS)","Total","Total","1225","147","266","288","275","135","56","38","8","4","3","1","2","2","-"
"5005202002","Santo Antônio - Ladário (MS)","Total","Total","809","86","150","179","175","98","59","30","15","6","5","1","1","2","2"
"5005202003","Almirante Tamandaré - Ladário (MS)","Total","Total","498","37","67","120","117","70","41","14","12","8","7","5","-","-","-"
"5005202004","Popular - Ladário (MS)","Total","Total","198","15","30","53","49","22","14","5","6","2","2","-","-","-","-"
"5005202005","Boa Esperança - Ladário (MS)","Total","Total","414","28","73","86","100","63","26","15","9","9","2","1","1","-","1"
"5005202006","Nova Ladário - Ladário (MS)","Total","Total","594","47","94","118","116","91","53","31","19","10","6","4","2","2","1"
"5005251001","Centro - Laguna Carapã (MS)","Total","Total","279","32","71","68","74","23","8","-","2","-","1","-","-","-","-"
"5005251002","Cristo Rei - Laguna Carapã (MS)","Total","Total","115","14","26","35","27","8","4","1","-","-","-","-","-","-","-"
"5005251003","Monte Alegre - Laguna Carapã (MS)","Total","Total","211","41","45","52","43","17","8","2","2","-","1","-","-","-","-"
"5005251004","Nossa Senhora Aparecida - Laguna Carapã (MS)","Total","Total","154","14","35","36","34","17","14","3","-","-","1","-","-","-","-"
"5005707001","Centro - Naviraí (MS)","Total","Total","5664","879","1387","1415","1208","508","171","61","19","6","5","4","-","1","-"
"5005707002","Jardim Nova Era - Naviraí (MS)","Total","Total","86","9","14","22","26","8","4","1","1","1","-","-","-","-","-"
"5005707003","Jardim União - Naviraí (MS)","Total","Total","90","6","23","30","24","5","2","-","-","-","-","-","-","-","-"
"5005707004","Classe A Residence - Naviraí (MS)","Total","Total","65","3","17","22","16","6","1","-","-","-","-","-","-","-","-"
"5005707005","Parque Beija Flor - Naviraí (MS)","Total","Total","82","7","17","25","21","7","3","1","1","-","-","-","-","-","-"
"5005707006","Residencial Sol Nascente - Naviraí (MS)","Total","Total","650","70","156","176","150","74","14","7","1","-","1","1","-","-","-"
"5005707007","Residencial Oasis II - Naviraí (MS)","Total","Total","110","10","32","38","15","11","2","1","1","-","-","-","-","-","-"
"5005707008","Residencial Portal - Naviraí (MS)","Total","Total","150","16","33","54","34","9","3","1","-","-","-","-","-","-","-"
"5005707009","Jardim Oasis I - Naviraí (MS)","Total","Total","144","27","37","37","31","7","3","2","-","-","-","-","-","-","-"
