"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"1504422","Marituba (PA)","Total","39857","24204","7686","16518","15210","9","435"
"1504455","Medicilândia (PA)","Total","11307","11028","3161","7867","279","-","-"
"1504505","Melgaço (PA)","Total","6883","6800","2349","4451","76","-","7"
"1504604","Mocajuba (PA)","Total","10363","10029","2204","7825","312","-","22"
"1504703","Moju (PA)","Total","25929","25269","6611","18658","622","-","38"
"1504802","Monte Alegre (PA)","Total","19867","19544","6195","13350","246","-","77"
"1504901","Muaná (PA)","Total","11312","11183","3118","8065","117","-","11"
"1504950","Nova Esperança do Piriá (PA)","Total","6809","6661","2687","3973","148","-","-"
"1504976","Nova Ipixuna (PA)","Total","5704","5449","1803","3645","244","5","5"
"1505007","Nova Timboteua (PA)","Total","5138","4714","1239","3475","405","-","19"
"1505031","Novo Progresso (PA)","Total","12652","12312","3356","8955","279","-","62"
"1505064","Novo Repartimento (PA)","Total","22220","21920","8727","13193","248","-","52"
"1505106","Óbidos (PA)","Total","18536","18066","5211","12855","423","-","47"
"1505205","Oeiras do Pará (PA)","Total","10255","10144","4771","5373","111","-","-"
"1505304","Oriximiná (PA)","Total","21850","21483","7503","13980","352","-","15"
"1505403","Ourém (PA)","Total","5345","4999","1109","3890","317","-","30"
"1505437","Ourilândia do Norte (PA)","Total","10782","10553","3411","7141","222","-","7"
"1505486","Pacajá (PA)","Total","13322","13234","5869","7365","75","-","13"
"1505494","Palestina do Pará (PA)","Total","2482","2340","622","1718","130","-","12"
"1505502","Paragominas (PA)","Total","37884","36476","8767","27709","1233","-","176"
"1505536","Parauapebas (PA)","Total","63542","61403","14693","46710","1894","19","226"
"1505551","Pau D'Arco (PA)","Total","1953","1686","701","985","232","-","35"
"1505601","Peixe-Boi (PA)","Total","2422","2181","355","1826","225","-","16"
"1505635","Piçarra (PA)","Total","4251","4155","1988","2167","82","-","13"
"1505650","Placas (PA)","Total","9024","8834","4555","4279","136","-","54"
"1505700","Ponta de Pedras (PA)","Total","8441","8320","3117","5203","110","-","11"
"1505809","Portel (PA)","Total","15782","15636","5856","9780","146","-","-"
"1505908","Porto de Moz (PA)","Total","12263","12221","4998","7223","42","-","-"
"1506005","Prainha (PA)","Total","9996","9913","4097","5816","65","-","18"
"1506104","Primavera (PA)","Total","3733","3433","664","2769","285","-","15"
"1506112","Quatipuru (PA)","Total","4340","3981","1083","2898","344","-","15"
