"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3505708008","Cruz Preta - Barueri (SP)","Total","30 a 34 anos","1350","10","18","87","467","195","130","107","15","12","2","2","305","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","35 a 39 anos","1085","3","10","97","328","141","126","98","17","4","1","-","260","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","40 a 44 anos","1066","4","10","110","340","168","116","84","19","5","1","-","209","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","45 a 49 anos","849","2","7","97","240","106","93","57","11","2","1","-","233","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","50 a 54 anos","652","3","12","84","170","74","63","46","7","2","-","1","190","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","55 a 59 anos","517","4","3","66","125","59","62","28","1","1","2","-","166","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","60 a 69 anos","540","5","4","126","126","61","46","22","1","1","-","-","148","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","70 anos ou mais","318","-","1","133","69","21","10","7","1","-","-","-","76","-"
"3505708009","Mutinga - Barueri (SP)","Total","10 a 14 anos","2938","9","13","24","18","3","-","-","-","-","-","-","2871","-"
"3505708009","Mutinga - Barueri (SP)","Total","15 a 19 anos","2952","26","34","326","410","18","6","1","-","-","-","-","2131","-"
"3505708009","Mutinga - Barueri (SP)","Total","15 a 17 anos","1788","17","21","136","85","2","1","-","-","-","-","-","1526","-"
"3505708009","Mutinga - Barueri (SP)","Total","18 ou 19 anos","1164","9","13","190","325","16","5","1","-","-","-","-","605","-"
"3505708009","Mutinga - Barueri (SP)","Total","20 a 24 anos","2971","12","19","426","1221","195","84","5","1","-","-","-","1008","-"
"3505708009","Mutinga - Barueri (SP)","Total","25 a 29 anos","2905","20","31","407","1215","253","108","36","-","3","-","-","832","-"
"3505708009","Mutinga - Barueri (SP)","Total","30 a 34 anos","2551","29","34","337","1047","260","132","29","2","3","1","-","677","-"
