Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
1720309;São Sebastião do Tocantins (TO);1817
1720499;São Valério (TO);1634
1720655;Silvanópolis (TO);1882
1720804;Sítio Novo do Tocantins (TO);3558
1720853;Sucupira (TO);650
1720903;Taguatinga (TO);5529
1720937;Taipas do Tocantins (TO);799
1720978;Talismã (TO);878
1721000;Palmas (TO);79344
1721109;Tocantínia (TO);3200
1721208;Tocantinópolis (TO);8762
1721257;Tupirama (TO);573
1721307;Tupiratins (TO);803
1722081;Wanderlândia (TO);3977
1722107;Xambioá (TO);4279
2100055;Açailândia (MA);41143
2100105;Afonso Cunha (MA);2791
2100154;Água Doce do Maranhão (MA);4761
2100204;Alcântara (MA);8244
2100303;Aldeias Altas (MA);10632
2100402;Altamira do Maranhão (MA);4617
2100436;Alto Alegre do Maranhão (MA);10056
2100477;Alto Alegre do Pindaré (MA);13962
2100501;Alto Parnaíba (MA);4591
2100550;Amapá do Maranhão (MA);2987
2100600;Amarante do Maranhão (MA);17432
2100709;Anajatuba (MA);9496
2100808;Anapurus (MA);5918
2100832;Apicum-Açu (MA);6384
2100873;Araguanã (MA);5968
2100907;Araioses (MA);17362
2100956;Arame (MA);14883
2101004;Arari (MA);11011
2101103;Axixá (MA);4646
2101202;Bacabal (MA);37519
2101251;Bacabeira (MA);6091
2101301;Bacuri (MA);7008
2101350;Bacurituba (MA);2018
2101400;Balsas (MA);34106
2101509;Barão de Grajaú (MA);6266
2101608;Barra do Corda (MA);34023
2101707;Barreirinhas (MA);25441
2101731;Belágua (MA);3448
2101772;Bela Vista do Maranhão (MA);5056
2101806;Benedito Leite (MA);2022
2101905;Bequimão (MA);7475
2101939;Bernardo do Mearim (MA);2176
2101970;Boa Vista do Gurupi (MA);3846
2102002;Bom Jardim (MA);17039
2102036;Bom Jesus das Selvas (MA);12373
2102077;Bom Lugar (MA);5919
2102101;Brejo (MA);13853
2102150;Brejo de Areia (MA);2587
2102200;Buriti (MA);12433
2102309;Buriti Bravo (MA);9708
2102325;Buriticupu (MA);30280
2102358;Buritirana (MA);6345
2102374;Cachoeira Grande (MA);4128
2102408;Cajapió (MA);4328
2102507;Cajari (MA);8126
2102556;Campestre do Maranhão (MA);5496
2102606;Cândido Mendes (MA);7867
2102705;Cantanhede (MA);8779
2102754;Capinzal do Norte (MA);4078
2102804;Carolina (MA);9318
2102903;Carutapera (MA);9708
2103000;Caxias (MA);58755
2103109;Cedral (MA);3795
2103125;Central do Maranhão (MA);3515
2103158;Centro do Guilherme (MA);5575
2103174;Centro Novo do Maranhão (MA);8174
2103208;Chapadinha (MA);30677
2103257;Cidelândia (MA);5601
2103307;Codó (MA);47424
2103406;Coelho Neto (MA);19611
2103505;Colinas (MA);16451
2103554;Conceição do Lago-Açu (MA);6780
2103604;Coroatá (MA);24900
2103703;Cururupu (MA);12552
2103752;Davinópolis (MA);5235
2103802;Dom Pedro (MA);8568
2103901;Duque Bacelar (MA);4840
2104008;Esperantinópolis (MA);7347
2104057;Estreito (MA);13425
2104073;Feira Nova do Maranhão (MA);3619
2104081;Fernando Falcão (MA);4419
2104099;Formosa da Serra Negra (MA);7805
2104107;Fortaleza dos Nogueiras (MA);4845
2104206;Fortuna (MA);6318
2104305;Godofredo Viana (MA);4266
2104404;Gonçalves Dias (MA);6884
2104503;Governador Archer (MA);3973
2104552;Governador Edison Lobão (MA);6371
2104602;Governador Eugênio Barros (MA);6632
2104628;Governador Luiz Rocha (MA);3037
2104651;Governador Newton Bello (MA);5345
2104677;Governador Nunes Freire (MA);11692
2104701;Graça Aranha (MA);2227
2104800;Grajaú (MA);27514
2104909;Guimarães (MA);4473
2105005;Humberto de Campos (MA);12778
2105104;Icatu (MA);11508
2105153;Igarapé do Meio (MA);5550
2105203;Igarapé Grande (MA);3992
2105302;Imperatriz (MA);86427
2105351;Itaipava do Grajaú (MA);6689
2105401;Itapecuru Mirim (MA);25672
2105427;Itinga do Maranhão (MA);10141
2105450;Jatobá (MA);3753
2105476;Jenipapo dos Vieiras (MA);7270
2105500;João Lisboa (MA);7939
2105609;Joselândia (MA);6313
2105658;Junco do Maranhão (MA);1771
2105708;Lago da Pedra (MA);18875
2105807;Lago do Junco (MA);4480
2105906;Lago Verde (MA);6857
