"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4105706022","Nelson Eloy Petry - Clevelândia (PR)","Total","Total","129","14","23","21","24","24","8","6","4","5","-","-","-","-","-"
"4105706023","Sinval Martins de Araújo - Clevelândia (PR)","Total","Total","92","4","24","18","20","15","7","1","1","1","-","-","1","-","-"
"4105706024","Claret - Clevelândia (PR)","Total","Total","84","3","18","16","24","11","5","4","2","1","-","-","-","-","-"
"4105805001","Arruda - Colombo (PR)","Total","Total","1981","196","398","543","474","218","92","37","16","4","2","1","-","-","-"
"4105805002","Atuba - Colombo (PR)","Total","Total","3273","451","664","880","731","320","133","56","27","10","-","-","1","-","-"
"4105805003","Bocininga - Colombo (PR)","Total","Total","161","7","34","37","35","18","17","7","-","3","2","1","-","-","-"
"4105805004","Botiatumirim - Colombo (PR)","Total","Total","196","27","45","46","48","16","7","2","1","3","-","1","-","-","-"
"4105805005","Campo Pequeno - Colombo (PR)","Total","Total","4018","405","910","1064","911","469","155","62","22","11","3","2","2","2","-"
"4105805006","Canguiri - Colombo (PR)","Total","Total","1023","104","237","274","253","90","41","14","7","1","1","1","-","-","-"
"4105805007","Centro - Colombo (PR)","Total","Total","882","83","204","249","232","76","28","6","2","1","1","-","-","-","-"
"4105805008","Colônia Faria - Colombo (PR)","Total","Total","244","31","66","61","56","27","2","-","1","-","-","-","-","-","-"
"4105805009","das Graças - Colombo (PR)","Total","Total","1290","139","282","359","289","149","47","13","8","2","-","2","-","-","-"
"4105805010","Embu - Colombo (PR)","Total","Total","590","54","99","148","151","79","29","17","8","4","1","-","-","-","-"
"4105805011","Fatima - Colombo (PR)","Total","Total","1327","145","330","361","277","125","52","20","10","2","5","-","-","-","-"
"4105805012","Gabirobal - Colombo (PR)","Total","Total","483","39","76","123","124","70","27","10","8","3","1","1","-","-","1"
"4105805013","Guabirotuba - Colombo (PR)","Total","Total","6645","632","1437","1827","1491","715","322","114","60","24","12","8","3","-","-"
"4105805014","Guarani - Colombo (PR)","Total","Total","4233","455","898","1182","933","421","213","75","36","12","6","1","-","-","1"
"4105805015","Maracanã - Colombo (PR)","Total","Total","3290","298","693","907","787","358","143","53","28","13","4","3","1","-","2"
"4105805016","Mana - Colombo (PR)","Total","Total","2148","188","370","515","485","319","156","63","33","11","4","1","2","1","-"
"4105805017","Monza - Colombo (PR)","Total","Total","2420","228","541","680","549","286","72","38","15","7","2","1","1","-","-"
"4105805018","Osasco - Colombo (PR)","Total","Total","2142","193","503","611","474","212","86","44","8","7","2","-","1","-","1"
"4105805019","Palmital - Colombo (PR)","Total","Total","1895","149","336","510","431","250","115","62","24","12","5","-","-","-","1"
"4105805020","Paloma - Colombo (PR)","Total","Total","3568","316","758","1032","803","394","169","50","23","13","8","1","1","-","-"
"4105805021","Rincão - Colombo (PR)","Total","Total","317","43","65","86","66","34","13","6","2","-","1","-","1","-","-"
"4105805022","Rio Verde - Colombo (PR)","Total","Total","3300","326","755","888","756","351","130","60","13","10","5","2","2","1","1"
"4105805023","Roça Grande - Colombo (PR)","Total","Total","5388","554","1035","1459","1286","606","257","110","41","24","8","4","2","2","-"
"4105805024","Santa Terezinha - Colombo (PR)","Total","Total","1135","104","265","300","275","117","43","18","8","3","2","-","-","-","-"
"4105805025","São Dimas - Colombo (PR)","Total","Total","3641","326","694","1002","813","445","205","94","39","11","3","5","2","1","1"
"4105805026","São João - Colombo (PR)","Total","Total","78","7","19","23","18","8","3","-","-","-","-","-","-","-","-"
"4105805027","São Gabriel - Colombo (PR)","Total","Total","5105","489","1079","1421","1168","557","224","90","44","18","11","2","-","2","-"
"4106902001","Centro - Curitiba (PR)","Total","Total","17751","7137","5866","2751","1363","443","127","37","15","7","1","-","3","-","1"
"4106902002","São Francisco - Curitiba (PR)","Total","Total","2423","618","802","526","317","111","32","9","3","1","2","1","-","1","-"
"4106902003","Centro Cívico - Curitiba (PR)","Total","Total","2103","628","733","405","258","64","12","2","-","1","-","-","-","-","-"
