"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1507409","São Francisco do Pará (PA)","Total","Total","3935","3924","11","-","-","-"
"1507458","São Geraldo do Araguaia (PA)","Total","Total","6827","6777","23","1","18","8"
"1507466","São João da Ponta (PA)","Total","Total","1350","1348","1","-","1","-"
"1507474","São João de Pirabas (PA)","Total","Total","5043","5015","9","4","15","-"
"1507508","São João do Araguaia (PA)","Total","Total","3256","3248","-","-","8","-"
"1507607","São Miguel do Guamá (PA)","Total","Total","12641","12071","468","16","86","-"
"1507706","São Sebastião da Boa Vista (PA)","Total","Total","4846","4842","4","-","-","-"
"1507755","Sapucaia (PA)","Total","Total","1403","1377","-","1","25","-"
"1507805","Senador José Porfírio (PA)","Total","Total","3306","3263","15","-","9","19"
"1507904","Soure (PA)","Total","Total","5538","5490","32","5","11","-"
"1507953","Tailândia (PA)","Total","Total","16511","14266","1907","191","147","-"
"1507961","Terra Alta (PA)","Total","Total","2595","2580","10","-","5","-"
"1507979","Terra Santa (PA)","Total","Total","3617","3609","2","6","-","-"
"1508001","Tomé-Açu (PA)","Total","Total","13565","13208","248","11","98","-"
"1508035","Tracuateua (PA)","Total","Total","6482","6444","28","-","10","-"
"1508050","Trairão (PA)","Total","Total","4027","3994","25","6","2","-"
"1508084","Tucumã (PA)","Total","Total","9450","9219","52","68","111","-"
"1508100","Tucuruí (PA)","Total","Total","23548","22939","186","76","346","1"
"1508126","Ulianópolis (PA)","Total","Total","8566","7939","383","7","237","-"
"1508159","Uruará (PA)","Total","Total","11252","10726","380","59","87","-"
"1508209","Vigia (PA)","Total","Total","11797","11446","291","6","54","-"
"1508308","Viseu (PA)","Total","Total","12358","12255","72","-","31","-"
"1508357","Vitória do Xingu (PA)","Total","Total","2976","2938","23","3","9","3"
"1508407","Xinguara (PA)","Total","Total","11438","11085","58","30","265","-"
"1600055","Serra do Navio (AP)","Total","Total","1146","1124","-","13","9","-"
"1600105","Amapá (AP)","Total","Total","1783","1765","4","13","1","-"
"1600154","Pedra Branca do Amapari (AP)","Total","Total","2516","2274","43","43","19","137"
"1600204","Calçoene (AP)","Total","Total","2246","2212","19","7","8","-"
"1600212","Cutias (AP)","Total","Total","1032","1012","5","9","6","-"
"1600238","Ferreira Gomes (AP)","Total","Total","1330","1307","3","17","3","-"
"1600253","Itaubal (AP)","Total","Total","948","938","1","9","-","-"
"1600279","Laranjal do Jari (AP)","Total","Total","9830","8382","443","554","451","-"
"1600303","Macapá (AP)","Total","Total","94442","85083","3311","4768","1280","-"
"1600402","Mazagão (AP)","Total","Total","3539","3355","181","2","1","-"
"1600501","Oiapoque (AP)","Total","Total","4643","4068","426","116","33","-"
"1600535","Porto Grande (AP)","Total","Total","4123","3981","107","8","27","-"
"1600550","Pracuúba (AP)","Total","Total","801","788","5","8","-","-"
"1600600","Santana (AP)","Total","Total","22335","20689","344","1084","218","-"
"1600709","Tartarugalzinho (AP)","Total","Total","2816","2789","11","7","9","-"
