"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1501105","Bagre (PA)","Total","817","3028","881","298","94"
"1501204","Baião (PA)","Total","1369","4766","1616","470","604"
"1501253","Bannach (PA)","Total","215","409","99","26","4"
"1501303","Barcarena (PA)","Total","4211","15335","4642","1087","304"
"1501402","Belém (PA)","Total","37494","212445","129123","40614","4423"
"1501451","Belterra (PA)","Total","493","1142","305","79","33"
"1501501","Benevides (PA)","Total","1849","6606","2582","2800","419"
"1501576","Bom Jesus do Tocantins (PA)","Total","854","1562","295","123","47"
"1501600","Bonito (PA)","Total","761","2111","749","104","33"
"1501709","Bragança (PA)","Total","4307","16898","2727","901","417"
"1501725","Brasil Novo (PA)","Total","965","2012","328","106","21"
"1501758","Brejo Grande do Araguaia (PA)","Total","437","633","255","64","29"
"1501782","Breu Branco (PA)","Total","1832","6479","1086","259","77"
"1501808","Breves (PA)","Total","4355","12032","2115","820","424"
"1501907","Bujaru (PA)","Total","978","3524","833","153","61"
"1501956","Cachoeira do Piriá (PA)","Total","682","2348","1404","394","165"
"1502004","Cachoeira do Arari (PA)","Total","874","1584","416","168","70"
"1502103","Cametá (PA)","Total","5806","17411","3131","1212","372"
"1502152","Canaã dos Carajás (PA)","Total","1425","3870","1211","435","11"
"1502202","Capanema (PA)","Total","3257","12102","1464","502","138"
"1502301","Capitão Poço (PA)","Total","2005","9939","1780","659","188"
"1502400","Castanhal (PA)","Total","7216","33844","5281","1250","400"
"1502509","Chaves (PA)","Total","628","931","587","275","352"
"1502608","Colares (PA)","Total","561","1455","262","101","76"
"1502707","Conceição do Araguaia (PA)","Total","2556","6309","674","284","293"
"1502756","Concórdia do Pará (PA)","Total","1770","4332","1643","603","71"
"1502764","Cumaru do Norte (PA)","Total","1664","1396","356","97","59"
"1502772","Curionópolis (PA)","Total","780","2002","380","197","80"
"1502806","Curralinho (PA)","Total","996","3573","911","445","214"
"1502855","Curuá (PA)","Total","512","1394","373","208","152"
"1502905","Curuçá (PA)","Total","1580","3414","974","545","219"
"1502939","Dom Eliseu (PA)","Total","2714","7651","1241","293","145"
"1502954","Eldorado do Carajás (PA)","Total","1280","3911","711","211","46"
"1503002","Faro (PA)","Total","449","650","210","94","82"
"1503044","Floresta do Araguaia (PA)","Total","898","1643","550","273","97"
"1503077","Garrafão do Norte (PA)","Total","1438","3580","983","584","136"
"1503093","Goianésia do Pará (PA)","Total","1548","5077","880","108","50"
"1503101","Gurupá (PA)","Total","1468","3822","524","219","159"
"1503200","Igarapé-Açu (PA)","Total","1519","4172","1002","460","113"
"1503309","Igarapé-Miri (PA)","Total","3103","6840","1769","563","350"
"1503408","Inhangapi (PA)","Total","494","1173","426","134","24"
"1503457","Ipixuna do Pará (PA)","Total","990","5126","1473","203","84"
"1503507","Irituia (PA)","Total","2000","6213","1669","445","78"
"1503606","Itaituba (PA)","Total","5556","13812","2920","525","383"
"1503705","Itupiranga (PA)","Total","1808","3414","942","416","124"
"1503754","Jacareacanga (PA)","Total","1348","900","67","66","83"
"1503804","Jacundá (PA)","Total","3326","7600","1015","363","247"
"1503903","Juruti (PA)","Total","2067","3675","1229","674","80"
"1504000","Limoeiro do Ajuru (PA)","Total","950","2891","1133","539","100"
"1504059","Mãe do Rio (PA)","Total","2210","3658","660","97","77"
"1504109","Magalhães Barata (PA)","Total","655","811","142","50","42"
"1504208","Marabá (PA)","Total","8615","36065","12989","2310","818"
"1504307","Maracanã (PA)","Total","1560","2914","1131","430","229"
"1504406","Marapanim (PA)","Total","1760","4420","1279","322","203"
"1504422","Marituba (PA)","Total","2370","12403","9220","6019","250"
"1504455","Medicilândia (PA)","Total","1771","4542","795","151","32"
"1504505","Melgaço (PA)","Total","781","2166","1033","187","90"
